layer,n_base_ref,n_abl_ref,flips,asr,layer_type,norm_dir
0,10,10,0,0.0,embedding,0.0
1,10,9,1,0.1,full_attention,0.65
2,10,10,0,0.0,full_attention,1.43
3,10,10,0,0.0,full_attention,1.97
4,10,10,0,0.0,full_attention,3.67
5,10,10,0,0.0,full_attention,4.05
6,10,10,0,0.0,full_attention,4.14
7,10,10,0,0.0,full_attention,3.89
8,10,9,1,0.1,full_attention,4.32
9,10,10,0,0.0,full_attention,4.62
10,10,9,1,0.1,full_attention,5.28
11,10,5,5,0.5,full_attention,6.43
12,10,7,3,0.3,full_attention,6.36
13,10,4,6,0.6,full_attention,6.68
14,10,0,10,1.0,full_attention,10.82
15,10,0,10,1.0,full_attention,12.03
16,10,0,10,1.0,full_attention,15.81
17,10,2,8,0.8,full_attention,23.12
18,10,2,8,0.8,full_attention,27.25
19,10,1,9,0.9,full_attention,35.07
20,10,0,10,1.0,full_attention,40.02
21,10,0,10,1.0,full_attention,42.01
22,10,0,10,1.0,full_attention,53.94
23,10,0,10,1.0,full_attention,68.28
24,10,0,10,1.0,full_attention,75.0
25,10,1,9,0.9,full_attention,84.33
26,10,0,10,1.0,full_attention,93.32
27,10,0,10,1.0,full_attention,99.97
28,10,6,4,0.4,full_attention,79.62
