layer,n_base_ref,n_abl_ref,flips,asr,layer_type,norm_dir
0,10,10,0,0.0,embedding,0.0
1,10,7,3,0.3,full_attention,0.7189976572990417
2,10,7,3,0.3,full_attention,0.9829655885696411
3,10,10,0,0.0,full_attention,1.198291540145874
4,10,10,0,0.0,full_attention,1.999546766281128
5,10,10,0,0.0,full_attention,2.5109026432037354
6,10,8,2,0.2,full_attention,2.648897171020508
7,10,8,2,0.2,full_attention,3.4060728549957275
8,10,10,0,0.0,full_attention,4.634915828704834
9,10,10,0,0.0,full_attention,7.299361228942871
10,10,10,0,0.0,full_attention,7.027638912200928
11,10,9,1,0.1,full_attention,6.668694496154785
12,10,9,1,0.1,full_attention,6.479707717895508
13,10,9,1,0.1,full_attention,6.231370449066162
14,10,10,0,0.0,full_attention,6.692917823791504
15,10,10,0,0.0,full_attention,7.037741184234619
16,10,8,2,0.2,full_attention,7.330872535705566
17,10,9,1,0.1,full_attention,8.5633544921875
18,10,8,2,0.2,full_attention,9.734674453735352
19,10,1,9,0.9,full_attention,16.381179809570312
20,10,0,10,1.0,full_attention,15.612386703491211
21,10,0,10,1.0,full_attention,24.303102493286133
22,10,0,10,1.0,full_attention,25.79990577697754
23,10,0,10,1.0,full_attention,29.08278465270996
24,10,0,10,1.0,full_attention,34.52144241333008
25,10,1,9,0.9,full_attention,40.38115692138672
26,10,0,10,1.0,full_attention,45.52797317504883
27,10,0,10,1.0,full_attention,47.52429962158203
28,10,0,10,1.0,full_attention,54.926151275634766
29,10,0,10,1.0,full_attention,65.0765151977539
30,10,0,10,1.0,full_attention,76.39718627929688
31,10,0,10,1.0,full_attention,96.26215362548828
32,10,1,9,0.9,full_attention,118.7754135131836
33,10,2,8,0.8,full_attention,142.79727172851562
34,10,1,9,0.9,full_attention,147.50314331054688
35,10,0,10,1.0,full_attention,161.62098693847656
36,10,5,5,0.5,full_attention,109.17706298828125
